,index,transaction,title,abstract,authors,track,invited
104,104,EDTM25-000168,Solder Fatigue Life Prediction Method Considering Intermetallic Compound Growth,"This paper presents a method for predicting solder joint life by considering the growth of the intermetallic compound (IMC). The relationship between single-cycle damage and the number of cycles is established by combining fatigue life models with IMC growth equations. The cumulative damage theory is employed to integrate damage over time, enabling a quantitative evaluation of the IMC’s impact on solder joint life.","Yikang Wang,Xiaopeng Wu,Jiahao Hou,Can Liu,Yintang Yang",08 Reliability and testing,0
105,105,EDTM25-000170,A Model-driven Design Technology Co-optimization (DTCO) with Multi-Objective Bayesian Algorithm for Advanced Technology,"This work presents a multi-objective Bayesian (MOB) optimization technique for co-optimizing device parameters and digital standard cell libraries (SDC) to deeply explore the technology design space. In contrast to the traditional design based on intrinsic device delay and power, the developed framework unifies the SDC characterizations and the MOB optimization algorithm. With 7nm FinFET as an example, the proposed framework achieves a 20.4% improvement in the power-delay product (PDP) and a 74% increase in hypervolume compared to traditional methods. The basic SDC including NAND, NOR, and XOR are considered with the ASAP7 PDK, and the full library could be covered.  This work provides a framework for automating the design-technology co-optimizations in advanced process nodes.","Baokang Peng,Guoyao Cheng,Runsheng Wang,Ru Huang,Mansun Chen,Lining Zhang",07 Modelling and Simulation,0
106,106,EDTM25-000171,Reverse Blocking GaN on SiC HEMTs with Ultralow Dynamic RON for 1200 V Power Applications,"This work demonstrates reverse-blocking (RB) GaN on SiC HEMTs and GaN-Si(100) Cascode Switches on a SiC substrate. The RB GaN HEMTs showed a turn-on voltage (VON) of 0.3 V and extremely low dynamic RON degradation at 2200 V, which were the best among all existing GaN power devices with reverse-blocking capability. Furthermore, GaN-Si(100) Cascode Switches were fabricated and showed great promise for future power IC (1200 - 1900 V) applications.","Yutong Fan,Mengqiang Yuan,Yuqing Hu,Weihang Zhang,Yachao Zhang,Zhihong Liu,Yue Hao,Jincheng Zhang",06 Wide-Bandgap Power and RF Devices,0
107,107,EDTM25-000173,Demonstration of Reliable Magnetic Shift Register Reading Using 50 nm MTJs on CMOS IC towards 3D Ultra-High Density Memory,"We propose an ultra-high density memory based on a 3D magnetic shift register (3D-SR) using nanotubes compatible with existing process technologies. Through simulations, we confirm the remote reading operation of the 3D-SR when placing an in-plane magnetic tunnel junction sensor above the nanotube. We experimentally demonstrate the potential of this read method in 2D-SR by achieving external magnetic field-free Write/Shift/Read operations using CMOS sensing amplifiers and driving circuitry.","Susumu Hashimoto,Nobuyuki Umetsu,Yasuaki Ootera,Jun Iwata,Michael Quinsat,Yoshihiro Ueda,Naoharu Shimomura,Hiroki Tokuhira,Shinji Miyano,Masatoshi Yoshikawa,Tsuyoshi Kondo,Masumi Saitoh,Masaki Kado",04 Memory Technologies,0
108,108,EDTM25-000174,Artificial Hodgkin–Huxley Neurons based on Ferro-ionic CuInP2S6,"CuInP2P6 exhibits both ferroelectricity and ionic conductivity, which is an excellent candidate for mimicking artificial Hodgkin–Huxley (HH) neurons. We proposed an optoelectronic device composed of a Graphene/ CuInP2P6/Graphene/h-BN. The unique combination of ionic conductivity and ferroelectricity in CuInP2S6 emulate the competition and collaboration of Na+ and K+ channels and replicate the action potential in neurons without any circuit elements. It showcases their promising capabilities in advancing artificial intelligence and neuromorphic computing systems. ","Fan Yang,Lei Liang,Qirui Zhang,Xuemei Wang,Qing Liu,Xiao Luo,Fucai Liu","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",0
109,109,EDTM25-000175,High Mobility and Improved Subthreshold Characteristics of Ultra-Thin Channel IGZTO TFTs Down to 3 nm,"In this work, the electric characteristics of IGZTO thin-film transistors (TFTs) with ultra-thin channel thicknesses (TCH) down to 3 nm were systematically investigated. As TCH decreases, a positive shift in threshold voltage (Vth) is observed, with the 3 nm device showing a Vth around 0.9 V and a field-effect mobility of 30.3 cm2(V·s)-1. The 5 nm device, featuring an appropriate Vth of 0.36 V, achieves an optimal balance with high mobility, highlighting the potential of IGZTO TFTs in sub-10 nm process technology for low-power applications.","Kai Chen,Yi Jiang,Zhaolong He,Rui Zhang,Junkang Li,Yunlong Li",03 Advanced Semiconductor (Logic) Devices,0
110,110,EDTM25-000177,DESIGN AND APPLICATION OF A MULTI-MODE SIGNAL CO-DETECTION SYSTEM FOR BRAIN SIGNALS,"We present a multi-mode signal co-detection system integrating electrophysiology and electrochemical techniques, enabling simultaneous recording of neural and dopamine signals in real time from awake animals. The system features an integrated headstage with significantly reduced noise—only 32.8% of that found in commercial equipment (PalmSens4). The electrode, modified with PEDOT:PSS/IrOx, boasts a high charge storage capacity (CSC) of 36.3 mC/cm² and excellent dopamine sensitivity at 21.86 pA/μM, enhancing electroactive neurotransmitter detection.","Jianbo Jiang,Xueying Wang,Huiran Yang,Ziyi Zhu,Dujuan Zou,Siyuan Ni,Zhengyu Liang,Guopei Zhou,Tiger H. Tao,Xiaoling WEI,Zhitao Zhou,Liuyang Sun","10 Sensor, MEMS, Bio-Electronics",0
111,111,EDTM25-000178,Demonstration of EOT-Scaled Lg~25 nm FinFET based on Thickness-Proportion Controlled HfO2-ZrO2-HfO2 Superlattice Gate Stacks,"We demonstrate the equivalent oxide thickness (EOT)-scaled FinFETs with a physical gate length (Lg) of ~25 nm based on a thickness-proportional controlled HfO2-ZrO2-HfO2 (TPC-HZH) superlattice gate stacks. The integrated gate oxides show an effective oxide thickness (EOT) of 7 Å after 450 °C annealing, indicating high compatibility with advanced HKMG FinFETs processes. Superior performance from the low EOT sustains on the Lg~25 nm TPC-HZH FinFET, showing a 38% higher driving current and a 54% higher transconductance compared with that of traditional HfO2-based FinFET. Besides, enhanced SCE immunity, including SS and DIBL, of the TPC-HZH, indicates the great potential of TPC-HZH capability for future advanced node CMOS technology.","Kun Zhong,Zhaohao Zhang,Huaxiang Yin",03 Advanced Semiconductor (Logic) Devices,0
112,112,EDTM25-000179,Global Stress Analysis in Fin Patterned Si/SiGe Multilayer Nanosheets for Nanosheet-based CMOS Device Technology,"Si/SiGe nanosheet-based CMOS technology is essential for 3nm semiconductor nodes and below. This study investigates stress in Si/SiGe superlattice nanosheets after fin patterning on silicon substrates. SiGe nanosheets (Ge mole fraction 0.35) exhibit 2.17 GPa compressive stress, while Si nanosheets are initially stress-free. After patterning, tensile stress induced in Si nanosheets stress due to relaxation in SiGe. These findings provide insights into stress engineering, crucial for improving performance and reliability of nanosheet-based CMOS and heterostructure devices.","IMTIYAZ AHMAD KHAN,KUNAL .,HARSH RAJU,Sanjeev Kumar Manhas,AMIT KUMAR SINGH CHAUHAN",07 Modelling and Simulation,0
113,113,EDTM25-000180,Van der Waals Dielectrics and Electrodes in 2D Transistors for 2T0C DRAM,"Two-dimensional (2D) materials, with their atomic-scale thickness, hold promise for next-gen transistors and memory devices. However, integrating high-quality dielectrics on 2D semiconductors is challenging. We introduce a hexagonal boron nitride (h-BN)-assisted process for transferring van der Waals dielectrics and electrodes in 2D transistors. This method maintains clean interfaces, with aluminum oxide (Al2O3) showing exceptional flatness. The MoS2 transistor achieves low interface trap density and leakage current, enabling efficient charge storage and facilitating high-density integration in DRAM applications.","Jianmiao Guo,Ziyuan Lin,Cong Wang,Tianqing Wan,Jianmin Yan,Yang Chai",03 Advanced Semiconductor (Logic) Devices,0
114,114,EDTM25-000182,Analysis of IGZO Ultra-Thin Transistors Under High-gate and Drain Bias Stress,"This study investigated the electrical behavior of Indium Gallium Zinc Oxide thin-film transistors (a-IGZO TFTs) under high gate bias stress and high drain bias stress. In this research, we performed electrical behavior tests on devices with different gate widths, both before and after the application of stress. Post-stress application, the electrical performance of the devices exhibited a significant positive shift. As the stress applied to the gate and drain increases, the amount of charge trapped in the gate dielectric also increases,resulting in more pronounced electrical performance shifts. It is inferred that these phenomena are due to charge trapping in the gate dielectric during prolonged stress application.","Yupeng LU,yanyu Yang,Peng Wang,Jie Luo,yunjiao bao",08 Reliability and testing,0
115,115,EDTM25-000184,Ferroelectric In2Se3 transistors with multi-terminal plasticity for highly efficient hardware implementation of reinforcement learning,"Hardware implementation of reinforcement learning (RL) algorithms with silicon-based circuits requires complex designs with dozens of components. To simplify the conventional design, we demonstrate a synaptic cell with only a single transistor for in-situ RL weight updates. By exploiting the unique in-plane (IP) and out-of-plane (OOP) ferroelectric polarization coupling of In2Se3, we demonstrate multi-terminal synaptic plasticity in RL algorithm with In2Se3 FET, which can realize multi-terminal channel conductance tuning of VDS (> 5 bits, Gmax/Gmin>6) and VGS (>5 bits, Gmax/Gmin>25), respectively. Additionally, the ferroelectric relaxation naturally realizes the eligibility trace decay characteristic in the RL algorithm,which enhanced the performance of the algorithm. We experimentally demonstrate the In2Se3 FET arrays to solve the classical RL benchmark cart-pole task, exhibiting a way for realizing low-power (86 pJ per programming with eligibility trace) and highly area-efficient (10 µm2) hardware chip for reinforcement learning.","Yasai WANG,Weiwei Xiong,Jianmin Yan,Yue Zhou,Chaoyi Zhu,Xiangshui Miao,Yuhui He,Yang Chai","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",0
